transit_id,route_distance_nm,route_complexity,port_pair_risk,eta_delay_days,speed_anomaly_pct,position_deviation_pct,vessel_speed_knots,month,quarter,is_typhoon_season,is_peak_season,day_of_week,hist_disruption_count,avg_hist_delay_days,seasonal_risk_score,route_risk_score,carrier_on_time_rate,carrier_avg_delay,carrier_reliability_score,news_risk_score_7day,news_event_frequency,news_sentiment_avg,news_sentiment_trend,weather_wind_speed_avg,weather_storm_risk,port_congestion_level,port_wait_time_ratio,target_on_time,target_delay_days
1,6450,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8786407766990292,0.37572815533980586,87.86407766990291,0.15,2,0.1,0.2,12,0.15,0.45,1.3,1,0.0
2,6500,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.910941475826972,0.30687022900763355,91.0941475826972,0.15,2,0.1,0.2,12,0.15,0.45,1.3,1,0.0
3,6500,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8594594594594595,0.3786486486486486,85.94594594594595,0.15,2,0.1,0.2,12,0.15,0.45,1.3,1,0.0
4,6450,0.6,0.4,1.0999999999999996,-7.284768211920531,7.284768211920531,17.93598233995585,1,1,0,0,3,0,0,0.1,0.4,0.8594594594594595,0.3786486486486486,85.94594594594595,0.15,2,0.1,0.2,12,0.15,0.45,1.3,0,1.1
5,6500,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8630490956072352,0.3689922480620155,86.30490956072352,0.15,2,0.1,0.2,12,0.15,0.3,1.0,1,0.0
6,6480,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8829516539440203,0.3424936386768448,88.29516539440203,0.15,2,0.1,0.2,12,0.15,0.5,1.4,1,0.0
7,6480,0.6,0.4,1.0999999999999996,-7.284768211920531,7.284768211920531,17.93598233995585,1,1,0,0,3,0,0,0.1,0.4,0.883008356545961,0.3579387186629526,88.3008356545961,0.15,2,0.1,0.2,12,0.15,0.5,1.4,0,1.1
8,6400,0.6,0.4,0.09999999999999964,-0.6622516556291508,0.6622516556291508,17.93598233995585,1,1,0,0,3,0,0,0.1,0.4,0.883008356545961,0.3579387186629526,88.3008356545961,0.15,2,0.1,0.2,12,0.15,0.45,1.3,1,0.1
9,6500,0.6,0.4,0.0,0.0,0.0,22.569444444444443,1,1,0,0,3,0,0,0.1,0.4,0.910941475826972,0.30687022900763355,91.0941475826972,0.15,2,0.1,0.2,12,0.15,0.3,1.0,1,0.0
10,6500,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.883008356545961,0.3579387186629526,88.3008356545961,0.15,2,0.1,0.2,12,0.15,0.35,1.1,1,0.0
11,6450,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8594594594594595,0.3786486486486486,85.94594594594595,0.15,2,0.1,0.2,12,0.15,0.45,1.3,1,0.0
12,6480,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.910941475826972,0.30687022900763355,91.0941475826972,0.15,2,0.1,0.2,12,0.15,0.5,1.4,1,0.0
13,6500,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.883008356545961,0.3579387186629526,88.3008356545961,0.15,2,0.1,0.2,12,0.15,0.35,1.1,1,0.0
14,6500,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.910941475826972,0.30687022900763355,91.0941475826972,0.15,2,0.1,0.2,12,0.15,0.35,1.1,1,0.0
15,6480,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8630490956072352,0.3689922480620155,86.30490956072352,0.15,2,0.1,0.2,12,0.15,0.5,1.4,1,0.0
16,6430,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.883008356545961,0.3579387186629526,88.3008356545961,0.15,2,0.1,0.2,12,0.15,0.5,1.4,1,0.0
17,6480,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8988235294117647,0.3176470588235294,89.88235294117646,0.15,2,0.1,0.2,12,0.15,0.5,1.4,1,0.0
18,6500,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8594594594594595,0.3786486486486486,85.94594594594595,0.15,2,0.1,0.2,12,0.15,0.35,1.1,1,0.0
19,6500,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8630490956072352,0.3689922480620155,86.30490956072352,0.15,2,0.1,0.2,12,0.15,0.35,1.1,1,0.0
20,6500,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8786407766990292,0.37572815533980586,87.86407766990291,0.15,2,0.1,0.2,12,0.15,0.3,1.0,1,0.0
21,6500,0.6,0.4,1.0,-7.14285714285714,7.14285714285714,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8594594594594595,0.3786486486486486,85.94594594594595,0.15,2,0.1,0.2,12,0.15,0.35,1.1,1,1.0
22,6380,0.6,0.4,0.0,0.0,0.0,18.055555555555557,1,1,0,0,3,0,0,0.1,0.4,0.885286783042394,0.32842892768079796,88.5286783042394,0.15,2,0.1,0.2,12,0.15,0.5,1.4,1,0.0
23,6500,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8630490956072352,0.3689922480620155,86.30490956072352,0.15,2,0.1,0.2,12,0.15,0.3,1.0,1,0.0
24,6500,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8829516539440203,0.3424936386768448,88.29516539440203,0.15,2,0.1,0.2,12,0.15,0.45,1.3,1,0.0
25,6500,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8988235294117647,0.3176470588235294,89.88235294117646,0.15,2,0.1,0.2,12,0.15,0.3,1.0,1,0.0
26,6450,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8829516539440203,0.3424936386768448,88.29516539440203,0.15,2,0.1,0.2,12,0.15,0.45,1.3,1,0.0
27,6480,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8594594594594595,0.3786486486486486,85.94594594594595,0.15,2,0.1,0.2,12,0.15,0.5,1.4,1,0.0
28,6500,0.6,0.4,0.0,0.0,0.0,22.569444444444443,1,1,0,0,3,0,0,0.1,0.4,0.8786407766990292,0.37572815533980586,87.86407766990291,0.15,2,0.1,0.2,12,0.15,0.3,1.0,1,0.0
29,6500,0.6,0.4,0.0,0.0,0.0,22.569444444444443,1,1,0,0,3,0,0,0.1,0.4,0.910941475826972,0.30687022900763355,91.0941475826972,0.15,2,0.1,0.2,12,0.15,0.3,1.0,1,0.0
30,6450,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8594594594594595,0.3786486486486486,85.94594594594595,0.15,2,0.1,0.2,12,0.15,0.45,1.3,1,0.0
31,6500,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8829516539440203,0.3424936386768448,88.29516539440203,0.15,2,0.1,0.2,12,0.15,0.3,1.0,1,0.0
32,6400,0.6,0.4,1.6999999999999993,-10.179640718562869,10.179640718562869,16.217564870259483,1,1,0,0,3,0,0,0.1,0.4,0.8786407766990292,0.37572815533980586,87.86407766990291,0.15,2,0.1,0.2,12,0.15,0.45,1.3,0,1.7
33,6500,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8630490956072352,0.3689922480620155,86.30490956072352,0.15,2,0.1,0.2,12,0.15,0.35,1.1,1,0.0
34,6380,0.6,0.4,0.0,0.0,0.0,18.055555555555557,1,1,0,0,3,0,0,0.1,0.4,0.8988235294117647,0.3176470588235294,89.88235294117646,0.15,2,0.1,0.2,12,0.15,0.5,1.4,1,0.0
35,6500,0.6,0.4,0.1999999999999993,-1.4084507042253285,1.4084507042253285,19.072769953051647,1,1,0,0,3,0,0,0.1,0.4,0.8630490956072352,0.3689922480620155,86.30490956072352,0.15,2,0.1,0.2,12,0.15,0.45,1.3,1,0.2
36,6430,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.910941475826972,0.30687022900763355,91.0941475826972,0.15,2,0.1,0.2,12,0.15,0.5,1.4,1,0.0
37,6500,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8594594594594595,0.3786486486486486,85.94594594594595,0.15,2,0.1,0.2,12,0.15,0.45,1.3,1,0.0
38,6430,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8988235294117647,0.3176470588235294,89.88235294117646,0.15,2,0.1,0.2,12,0.15,0.5,1.4,1,0.0
39,6500,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8594594594594595,0.3786486486486486,85.94594594594595,0.15,2,0.1,0.2,12,0.15,0.35,1.1,1,0.0
40,6380,0.6,0.4,0.0,0.0,0.0,18.055555555555557,1,1,0,0,3,0,0,0.1,0.4,0.8829516539440203,0.3424936386768448,88.29516539440203,0.15,2,0.1,0.2,12,0.15,0.5,1.4,1,0.0
41,6450,0.6,0.4,0.09999999999999964,-0.7092198581560113,0.7092198581560113,19.208037825059105,1,1,0,0,3,0,0,0.1,0.4,0.8988235294117647,0.3176470588235294,89.88235294117646,0.15,2,0.1,0.2,12,0.15,0.45,1.3,1,0.1
42,6480,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8630490956072352,0.3689922480620155,86.30490956072352,0.15,2,0.1,0.2,12,0.15,0.5,1.4,1,0.0
43,6480,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.8594594594594595,0.3786486486486486,85.94594594594595,0.15,2,0.1,0.2,12,0.15,0.5,1.4,1,0.0
44,6400,0.6,0.4,0.0,0.0,0.0,18.055555555555557,1,1,0,0,3,0,0,0.1,0.4,0.8786407766990292,0.37572815533980586,87.86407766990291,0.15,2,0.1,0.2,12,0.15,0.45,1.3,1,0.0
45,6500,0.6,0.4,0.0,0.0,0.0,19.345238095238095,1,1,0,0,3,0,0,0.1,0.4,0.883008356545961,0.3579387186629526,88.3008356545961,0.15,2,0.1,0.2,12,0.15,0.3,1.0,1,0.0
46,6380,0.6,0.4,0.0,0.0,0.0,18.055555555555557,1,1,0,0,3,0,0,0.1,0.4,0.8786407766990292,0.37572815533980586,87.86407766990291,0.15,2,0.1,0.2,12,0.15,0.5,1.4,1,0.0
