Order_ID,Order_Date,Origin_City,Destination_City,Route_Type,Transportation_Mode,Product_Category,Base_Lead_Time_Days,Scheduled_Lead_Time_Days,Actual_Lead_Time_Days,Delay_Days,Delivery_Status,Disruption_Event,Geopolitical_Risk_Index,Weather_Severity_Index,Inflation_Rate_Pct,Shipping_Cost_USD,Order_Weight_Kg,Mitigation_Action_Taken
ORD-00BCB25B,2024-04-05,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,21,18,0,On Time,,0.81,8.9,1.83,1611.81,1781,Standard Shipping
ORD-4979D2B8,2025-03-23,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,21,17,0,On Time,,0.87,8.4,3.44,2897.57,3099,Standard Shipping
ORD-0F2972D6,2025-07-24,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Pharmaceuticals,18,21,19,0,On Time,,0.22,3.1,4.5,3631.33,5953,Standard Shipping
ORD-B8E7CF2F,2025-11-26,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Consumer Electronics,18,20,18,0,On Time,,0.15,2.4,4.33,202.4,352,Standard Shipping
ORD-1BD5CC16,2024-07-17,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,21,18,0,On Time,,0.12,5.8,3.63,2828.56,5051,Standard Shipping
ORD-4F7D5A42,2025-12-25,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Raw Materials,18,21,19,0,On Time,,0.81,7.9,4.8,5974.81,6602,Standard Shipping
ORD-2633E643,2025-08-05,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Auto Parts,18,19,20,1,Late,,0.67,3.6,3.39,5542.73,6638,Standard Shipping
ORD-2AC5BAC3,2025-07-18,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Textiles,18,21,18,0,On Time,,0.9,0.2,2.02,1662.5,1750,Standard Shipping
ORD-3E83737E,2024-04-22,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,19,18,0,On Time,,0.62,3.5,4.79,4081.59,5039,Standard Shipping
ORD-ED7F314D,2025-05-18,"Shanghai, CN","Los Angeles, US",Pacific,Sea,Perishable Foods,18,20,24,4,Late,Port Congestion,0.7,2.3,3.06,4157.01,4446,Standard Shipping
