origin_port,origin_name,destination_port,destination_name,carrier,vessel_name,departure_date,scheduled_arrival,actual_arrival,scheduled_days,actual_days,delay_days,year,month,on_time,id
TWTXG,Taichung,USLAX,Los Angeles,Maersk Line,Yang Ming Champion,2022-01-01,2022-01-15,2022-01-15,14,14,0,2022,1,True,1
TWKHH,Kaohsiung,USLAX,Los Angeles,Yang Ming,Maersk Pioneer,2022-01-06,2022-01-20,2022-01-20,14,14,0,2022,1,True,2
TWKHH,Kaohsiung,USLAX,Los Angeles,COSCO Shipping,Yang Ming Success,2022-01-01,2022-01-15,2022-01-15,14,14.0,0.0,2022,1,True,3
TWTXG,Taichung,USLAX,Los Angeles,COSCO Shipping,MSC Ace,2022-01-05,2022-01-19,2022-01-20,14,15.1,1.1,2022,1,False,4
TWTXG,Taichung,USSEA,Seattle,HMM,Maersk Leader,2022-01-02,2022-01-16,2022-01-16,14,14,0,2022,1,True,5
TWKHH,Kaohsiung,USLGB,Long Beach,ONE (Ocean Network Express),Wan Hai Leader,2022-01-06,2022-01-20,2022-01-20,14,14,0,2022,1,True,6
TWKHH,Kaohsiung,USLGB,Long Beach,MSC,Ever Glory,2022-01-07,2022-01-21,2022-01-22,14,15.1,1.1,2022,1,False,7
TWTPE,Taipei (Keelung),USLAX,Los Angeles,MSC,Maersk Leader,2022-01-03,2022-01-18,2022-01-18,15,15.1,0.1,2022,1,True,8
TWKHH,Kaohsiung,USSEA,Seattle,Yang Ming,COSCO Glory,2022-01-05,2022-01-17,2022-01-17,12,12,0,2022,1,True,9
TWTXG,Taichung,USOAK,Oakland,MSC,Maersk Champion,2022-01-07,2022-01-21,2022-01-21,14,14,0,2022,1,True,10
TWTXG,Taichung,USLAX,Los Angeles,COSCO Shipping,ONE Leader,2022-01-01,2022-01-15,2022-01-15,14,14,0,2022,1,True,11
TWKHH,Kaohsiung,USLGB,Long Beach,Yang Ming,COSCO Leader,2022-01-07,2022-01-21,2022-01-21,14,14,0,2022,1,True,12
TWTPE,Taipei (Keelung),USOAK,Oakland,MSC,Wan Hai Champion,2022-01-02,2022-01-16,2022-01-16,14,14,0,2022,1,True,13
TWTXG,Taichung,USOAK,Oakland,Yang Ming,Maersk Ace,2022-01-06,2022-01-20,2022-01-20,14,14,0,2022,1,True,14
TWKHH,Kaohsiung,USLGB,Long Beach,HMM,COSCO Leader,2022-01-02,2022-01-16,2022-01-16,14,14,0,2022,1,True,15
TWTXG,Taichung,USLGB,Long Beach,MSC,ONE Crown,2022-01-06,2022-01-20,2022-01-20,14,14,0,2022,1,True,16
TWKHH,Kaohsiung,USLGB,Long Beach,Evergreen Marine,ONE Excellence,2022-01-07,2022-01-21,2022-01-21,14,14,0,2022,1,True,17
TWTPE,Taipei (Keelung),USOAK,Oakland,COSCO Shipping,Maersk Diamond,2022-01-01,2022-01-15,2022-01-15,14,14,0,2022,1,True,18
TWTXG,Taichung,USOAK,Oakland,HMM,COSCO Diamond,2022-01-02,2022-01-16,2022-01-16,14,14,0,2022,1,True,19
TWTXG,Taichung,USSEA,Seattle,Maersk Line,Yang Ming Champion,2022-01-02,2022-01-16,2022-01-16,14,14,0,2022,1,True,20
TWKHH,Kaohsiung,USOAK,Oakland,COSCO Shipping,Wan Hai Ace,2022-01-08,2022-01-21,2022-01-21,13,14.0,1.0,2022,1,True,21
TWTPE,Taipei (Keelung),USLGB,Long Beach,Wan Hai Lines,MSC Diamond,2022-01-12,2022-01-27,2022-01-27,15,15,0,2022,1,True,22
TWTXG,Taichung,USSEA,Seattle,HMM,ONE Pioneer,2022-01-09,2022-01-23,2022-01-23,14,14,0,2022,1,True,23
TWKHH,Kaohsiung,USLAX,Los Angeles,ONE (Ocean Network Express),Wan Hai Pioneer,2022-01-08,2022-01-22,2022-01-22,14,14,0,2022,1,True,24
TWTPE,Taipei (Keelung),USSEA,Seattle,Evergreen Marine,MSC Ace,2022-01-14,2022-01-28,2022-01-28,14,14,0,2022,1,True,25
TWTXG,Taichung,USLAX,Los Angeles,ONE (Ocean Network Express),MSC Excellence,2022-01-08,2022-01-22,2022-01-22,14,14,0,2022,1,True,26
TWKHH,Kaohsiung,USLGB,Long Beach,COSCO Shipping,Maersk Progress,2022-01-09,2022-01-23,2022-01-23,14,14,0,2022,1,True,27
TWKHH,Kaohsiung,USSEA,Seattle,Maersk Line,COSCO Champion,2022-01-09,2022-01-21,2022-01-21,12,12,0,2022,1,True,28
TWKHH,Kaohsiung,USSEA,Seattle,Yang Ming,Ever Ace,2022-01-14,2022-01-26,2022-01-26,12,12,0,2022,1,True,29
