port_code,port_name,date,berth_utilization,wait_time_hours,vessels_waiting,congestion_level
USLAX,Los Angeles,2022-01-01,0.805,31.0,35,medium
USLGB,Long Beach,2022-01-01,0.685,19.1,25,low
USOAK,Oakland,2022-01-01,0.69,16.2,27,low
USSEA,Seattle,2022-01-01,0.592,10.6,20,low
USLAX,Los Angeles,2022-01-02,0.673,18.6,27,low
USLGB,Long Beach,2022-01-02,0.676,18.3,26,low
USOAK,Oakland,2022-01-02,0.555,5.6,26,low
USSEA,Seattle,2022-01-02,0.58,6.7,26,low
USLAX,Los Angeles,2022-01-03,0.806,33.9,30,medium
USLGB,Long Beach,2022-01-03,0.657,13.5,21,low
USOAK,Oakland,2022-01-03,0.64,15.2,30,low
USSEA,Seattle,2022-01-03,0.593,9.4,19,low
USLAX,Los Angeles,2022-01-04,0.778,31.6,31,medium
USLGB,Long Beach,2022-01-04,0.637,13.0,22,low
USOAK,Oakland,2022-01-04,0.682,21.2,31,low
USSEA,Seattle,2022-01-04,0.566,6.6,19,low
USLAX,Los Angeles,2022-01-05,0.719,26.2,32,medium
USLGB,Long Beach,2022-01-05,0.645,13.0,26,low
USOAK,Oakland,2022-01-05,0.524,2.6,23,low
USSEA,Seattle,2022-01-05,0.629,13.1,21,low
USLAX,Los Angeles,2022-01-06,0.786,33.7,27,medium
USLGB,Long Beach,2022-01-06,0.706,21.5,33,medium
USOAK,Oakland,2022-01-06,0.677,19.5,29,low
USSEA,Seattle,2022-01-06,0.585,8.2,25,low
USLAX,Los Angeles,2022-01-07,0.722,25.7,28,medium
USLGB,Long Beach,2022-01-07,0.647,12.1,20,low
USOAK,Oakland,2022-01-07,0.61,11.4,19,low
USSEA,Seattle,2022-01-07,0.584,6.9,19,low
USLAX,Los Angeles,2022-01-08,0.783,27.8,36,medium
USLGB,Long Beach,2022-01-08,0.792,23.4,33,medium
USOAK,Oakland,2022-01-08,0.611,9.4,24,low
USSEA,Seattle,2022-01-08,0.551,4.3,20,low
USLAX,Los Angeles,2022-01-09,0.653,13.7,23,low
USLGB,Long Beach,2022-01-09,0.687,19.0,25,low
USOAK,Oakland,2022-01-09,0.687,21.0,27,low
USSEA,Seattle,2022-01-09,0.578,7.9,27,low
USLAX,Los Angeles,2022-01-10,0.661,18.5,23,low
USLGB,Long Beach,2022-01-10,0.782,30.9,26,medium
USOAK,Oakland,2022-01-10,0.561,5.4,21,low
USSEA,Seattle,2022-01-10,0.581,9.2,23,low
USLAX,Los Angeles,2022-01-11,0.694,22.6,22,low
USLGB,Long Beach,2022-01-11,0.728,25.8,23,medium
USOAK,Oakland,2022-01-11,0.57,6.0,27,low
USSEA,Seattle,2022-01-11,0.494,0,21,low
USLAX,Los Angeles,2022-01-12,0.764,22.3,35,medium
USLGB,Long Beach,2022-01-12,0.74,20.6,24,medium
USOAK,Oakland,2022-01-12,0.576,7.8,22,low
USSEA,Seattle,2022-01-12,0.474,0,22,low
USLAX,Los Angeles,2022-01-13,0.856,29.1,32,high
USLGB,Long Beach,2022-01-13,0.738,25.4,27,medium
USOAK,Oakland,2022-01-13,0.611,12.7,29,low
USSEA,Seattle,2022-01-13,0.591,10.7,21,low
USLAX,Los Angeles,2022-01-14,0.674,19.5,23,low
USLGB,Long Beach,2022-01-14,0.682,15.8,31,low
USOAK,Oakland,2022-01-14,0.651,14.6,27,low
