Unnamed: 0,Economy_Label,CommercialMarket_Label,Average_age_of_vessels_years_Value,Average_age_of_vessels_years_MissingValue,Median_time_in_port_days_Value,Median_time_in_port_days_MissingValue,Average_size_GT_of_vessels_Value,Average_size_GT_of_vessels_MissingValue,Average_cargo_carrying_capacity_dwt_per_vessel_Value,Average_cargo_carrying_capacity_dwt_per_vessel_MissingValue,Average_container_carrying_capacity_TEU_per_container_ship_Value,Average_container_carrying_capacity_TEU_per_container_ship_MissingValue,Maximum_size_GT_of_vessels_Value,Maximum_size_GT_of_vessels_MissingValue,Maximum_cargo_carrying_capacity_dwt_of_vessels_Value,Maximum_cargo_carrying_capacity_dwt_of_vessels_MissingValue,Maximum_container_carrying_capacity_TEU_of_container_ships_Value,Maximum_container_carrying_capacity_TEU_of_container_ships_MissingValue,period
0,World,All ships,18,,1.07,,14285,,25725.0,,3407.0,,236583,,404389.0,,24000.0,,2022-S1
1,World,Liquid bulk carriers,15,,1.0,,16298,,28286.0,,,Not available or not separately reported,170618,,323183.0,,,Not available or not separately reported,2022-S1
2,World,Liquefied petroleum gas carriers,16,,1.03,,10726,,11986.0,,,Not available or not separately reported,60784,,64220.0,,,Not available or not separately reported,2022-S1
3,World,Liquefied natural gas carriers,12,,1.12,,96843,,75614.0,,,Not available or not separately reported,168189,,155159.0,,,Not available or not separately reported,2022-S1
4,World,Dry bulk carriers,14,,2.23,,32735,,58640.0,,,Not available or not separately reported,204014,,404389.0,,,Not available or not separately reported,2022-S1
5,World,Dry breakbulk carriers,21,,1.19,,5571,,7604.0,,,Not available or not separately reported,91784,,138743.0,,,Not available or not separately reported,2022-S1
6,World,Roll-on/ roll-off ships,17,,,Not available or not separately reported,25706,,10319.0,,,Not available or not separately reported,100430,,55828.0,,,Not available or not separately reported,2022-S1
7,World,Container ships,15,,0.84,,36855,,,Not available or not separately reported,3407.0,,236583,,,Not available or not separately reported,24000.0,,2022-S1
8,World,Passenger ships,20,,,Not available or not separately reported,8075,,,Not available or not separately reported,,Not available or not separately reported,235600,,,Not available or not separately reported,,Not available or not separately reported,2022-S1
9,Australia,All ships,17,,1.61,,32686,,82425.0,,4475.0,,152305,,297633.0,,9572.0,,2022-S1
10,Australia,Liquid bulk carriers,9,,1.32,,23888,,40398.0,,,Not available or not separately reported,84156,,157564.0,,,Not available or not separately reported,2022-S1
11,Australia,Liquefied petroleum gas carriers,8,,0.91,,14055,,15142.0,,,Not available or not separately reported,53471,,57748.0,,,Not available or not separately reported,2022-S1
12,Australia,Liquefied natural gas carriers,10,,1.25,,111880,,86177.0,,,Not available or not separately reported,149367,,97955.0,,,Not available or not separately reported,2022-S1
13,Australia,Dry bulk carriers,11,,1.69,,59339,,110964.0,,,Not available or not separately reported,152305,,297633.0,,,Not available or not separately reported,2022-S1
14,Australia,Dry breakbulk carriers,12,,2.23,,17715,,27077.0,,,Not available or not separately reported,57934,,80500.0,,,Not available or not separately reported,2022-S1
